Name,Address,Website,latitude,longitude,geocode_status
Merrimack Valley Project,"1045 Essex Street, Lawrence, MA 01841",https://www.merrimackvalleyproject.org/,42.7001061,-71.1822002,OK
Merrimack Valley YMCA – Administrative Offices,"280/360 Merrimack St, Lawrence, MA 01843",https://mvymca.org,42.7025383,-71.1525897,OK_simplified
Merrimack Valley YMCA – Lawrence Branch,"40 Lawrence St, Lawrence, MA 01840",https://mvymca.org,42.7092796,-71.1624396,OK
MSPCA at Nevins Farm,"400 Broadway, Methuen, MA 01844",https://www.mspca.org/nevins,42.7338049,-71.1946165,OK
"Neighbors In Need, Inc.","60 Island St, Suite 74-A/74-B, Lawrence, MA 01840",https://needfood.org,42.7056604,-71.1530802,OK_simplified
Northeast Independent Living Program (NILP),"20 Ballard Rd, Lawrence, MA 01843",https://www.nilp.org,42.6852395,-71.1859876,OK
Northeast Legal Aid (Lawrence Office),"50 Island St, Suite 203A, Lawrence, MA 01840",https://www.northeastlegalaid.org,42.706148,-71.1513092,OK_simplified
Notre Dame Cristo Rey High School,"303 Haverhill St, Methuen, MA 01844",https://www.ndcrhs.org,42.7063212,-71.1983652,OK
Notre Dame Education Center (Lawrence),"303 Haverhill St, Lawrence, MA 01840",https://www.ndeclawrence.org,42.7103133,-71.1675798,OK
Our Lady of Good Counsel Parish,"22 Plymouth St, Methuen, MA 01844",https://olgcparish.com,42.7058423,-71.191408,OK
Partners in Child Development,"439 S Union St Bldg 1, Ste. 101, Lawrence, MA 01843",https://mypcd.org/,42.6909222,-71.1559578,OK_simplified
Project Home Again,"458R Essex St, Lawrence, MA 01840",https://www.projecthomeagain.net,42.705563,-71.1664668,OK
Project Home Again,"123 Tewksbury St, Andover, MA 01810",https://www.phama.org/,42.6184214,-71.1744639,OK
Ruth's House,"111 Lafayette Square, Haverhill, MA 01832",https://ruthshouse.org/,42.7780644,-71.0900408,OK
Si Se Puede,"68 Melvin Street, #12-17, Lawrence, MA 01841",https://www.ssplawrence.org/,42.7035796,-71.172853,OK_manual
Squash Busters,"30 Island Street, Lawrence, MA 01840",https://squashbusters.org ,42.7063279,-71.1505276,OK
St. Anne–St. Augustine Parish,"26 Ames St, Lawrence, MA 01841",https://stanestaugustineparish.org,42.6959447,-71.1805126,OK
St. Anthony Maronite Church,"145 Amesbury St, Lawrence, MA 01841",https://stanthonylawrence.org,42.7115533,-71.1633393,OK
St. Francis & St. Theresa Parish,"94 Bradford St, Lawrence, MA 01843",,42.7082754,-71.169141,OK
St. Mary of the Assumption Parish,"300 Haverhill St, Lawrence, MA 01840",https://stmaryassumption-lawrence.org,42.709638,-71.1668725,OK
St. Patrick Parish,"118 South Broadway, Lawrence, MA 01843",https://stpatricklawrence.org,42.6969321,-71.1628596,OK
"The Community Group, Inc.","190 Hampshire St, Lawrence, MA 01840",https://www.thecommunitygroupinc.org,42.7094677,-71.1677546,OK
The Kindness Collaborative,"5 Castle Heights Road, Andover, MA 01810",https://kindnesscollab.org/,42.6658174,-71.1473871,OK
"The Psychological Center, Inc. (Daybreak / Pegasus / Women’s View)","11 Union St, Lawrence, MA 01840",https://psychologicalcenter.com,42.707302,-71.1535128,OK
The Salvation Army- Lawrence,"250 Haverhill Street, Lawrence, MA 01840",https://easternusa.salvationarmy.org/massachusetts/lawrence/,42.7098636,-71.1638597,OK
The Wish Project,"166 Middlesex St, North Chelmsford, MA 01863",https://www.thewishproject.org,42.6363122,-71.3658169,OK
Top Notch Scholars,"200 Common St, Suite 301, Lawrence, MA 01840",https://www.topnotchscholars.org,42.708218,-71.1599711,OK_simplified
Uncommon Threads,"60 Island St, Suite 150, Lawrence, MA 01840",https://www.uncommonthreads.org/,42.7056604,-71.1530802,OK_simplified
"UTEC, Inc. (Lowell & Lawrence)","35 Warren St, Lowell, MA 01852 (also Lawrence site)",https://www.utecinc.org,42.6429876,-71.30715,OK_simplified
Waystone Health and Human Services,"439 South Union St, Lawrence, MA 01843",https://waystonehhs.org/,42.6909222,-71.1559578,OK
Windrush Farm,"479 Bay Rd, North Andover, MA 01845",https://www.windrushfarm.org,42.6900313,-71.119577,OK
Youth Development Organization,"15 Union St, Entrance C, 5th Floor, Lawrence, MA 01840",https://www.ydolwarence.org,42.7073763,-71.1535126,OK_manual
YWCA Northeastern MA – Haverhill,"107 Winter St, Haverhill, MA 01830",https://ywcanema.org,42.7777538,-71.0811239,OK
YWCA Northeastern Massachusetts (Lawrence),"38 Lawrence St, Lawrence, MA 01840",https://ywcanema.org,42.709136,-71.1621655,OK
