base_charge,total_count,category,charge_class
witness fail to appear,1,Obstruction of Justice,Misdemeanor
property damage to intimidate,1,Public Order,Felony
motor veh by-law violation,1,Motor Vehicle,Misdemeanor
"snow/rec veh registration, fail produce",1,Motor Vehicle,Misdemeanor
assault by means of dangerous weapon,1,Assault/Battery,Felony
miscellaneous statutory,1,Public Order,Misdemeanor
"dumpster, use of another's commercial",1,Public Order,Misdemeanor
"arson of dwelling house, attempted",1,Arson,Felony
hunt/fish without license,1,Public Order,Misdemeanor
failure to obey traffic sign or signal,1,Motor Vehicle,Misdemeanor
"assault to rob, unarmed",1,Robbery,Felony
"credit card, false statement",1,Fraud/Financial,Misdemeanor
registration sticker missing,1,Motor Vehicle,Misdemeanor
kidnapping for extortion,1,Violent Crime - Kidnapping,Felony
"tools, larceny of construction",1,Theft/Larceny,Misdemeanor
"silencer, sell/use/possess firearm",1,Firearm Offense,Felony
accost/annoy person of opposite sex,1,Public Order,Misdemeanor
license suspended for oui,1,Motor Vehicle,Misdemeanor
motor carrier safety violation,1,Motor Vehicle,Misdemeanor
"prisoner, deliver drugs to",1,Obstruction of Justice,Misdemeanor
"counterfeit note, utter",1,Fraud/Financial,Felony
"juror, intimidate",1,Obstruction of Justice,Felony
"burglary, armed & assault",1,Assault/Battery,Felony
left lane restriction violation,1,Motor Vehicle,Misdemeanor
"false pretense of trade, obtain goods by",1,Fraud/Financial,Misdemeanor
burn motor vehicle,1,Motor Vehicle,Felony
"park regulation viol, town",1,Public Order,Misdemeanor
shoplifting by price tag tampering,1,Theft/Larceny,Misdemeanor
"rape, aggravated",1,Sex Offense,Felony
"red/blue light violation, mv",1,Motor Vehicle,Misdemeanor
"snow/rec veh stop for police, fail",1,Motor Vehicle,Misdemeanor
"license, false statement in application for mv",1,Motor Vehicle,Misdemeanor
child 6-12 without seat belt,1,Motor Vehicle,Misdemeanor
"rmv document, possess/use",1,Motor Vehicle,Misdemeanor
"firearm, larceny of",1,Firearm Offense,Felony
break into depository,1,Breaking & Entering,Felony
"telephone calls, annoying",1,Public Order,Misdemeanor
"animal, cruelty to by",1,Public Order,Misdemeanor
snow/rec vehicle violation,1,Motor Vehicle,Misdemeanor
"truck, b&e for felony",1,Breaking & Entering,Felony
"height, operate mv with modified",1,Motor Vehicle,Misdemeanor
rmv id card fraud,1,Motor Vehicle,Misdemeanor
"methamphetamine, trafficking in",1,Drug Offense,Felony
drug violation 100' of park or playground,1,Drug Offense,Felony
use of mobile telephone or device under 18,1,Motor Vehicle,Misdemeanor
"restaurant, defraud",1,Fraud/Financial,Misdemeanor
indecent a&b on person 14 or over,1,Assault/Battery,Felony
"shotgun, possess sawed-off",1,Firearm Offense,Felony
threat /dangerous item/ hijack,1,Public Order,Misdemeanor
manslaughter,1,Violent Crime - Homicide,Felony
receive false-traded property +$1200,1,Theft/Larceny,Felony
rmv id card address change,1,Motor Vehicle,Misdemeanor
motorcycle equipment violation,1,Motor Vehicle,Misdemeanor
"drug, possess to distrib class c",1,Drug Offense,Felony
"innkeeper, defraud, over $100",1,Fraud/Financial,Misdemeanor
trespass with firearm,1,Firearm Offense,Misdemeanor
burn personalty,1,Arson,Felony
m/v homicide by reckless op,1,Motor Vehicle,Felony
a&b on child with substantial injury,1,Assault/Battery,Felony
hang onto mv,1,Motor Vehicle,Misdemeanor
"tramp, threats by",1,Public Order,Misdemeanor
assault by means hypodermic syringe,1,Assault/Battery,Felony
escape from municipal lockup,1,Obstruction of Justice,Misdemeanor
contribute to delinquency of child,1,Public Order,Misdemeanor
"rmv signature, possess/use false/stolen",1,Motor Vehicle,Misdemeanor
oui liquor or .08%,1,Motor Vehicle,Either
"dangerous weapon on school grounds,carry",1,Weapons,Felony
"motor veh vin, remove/alter",1,Motor Vehicle,Misdemeanor
"school, disturb",1,Public Order,Misdemeanor
"rape of child, statutory",1,Sex Offense,Felony
"fugitive, fail bring before court",1,Fugitive/Warrant,Either
